file_id,gain,max_scaled_absolute_error,tolerance
source/48kHz_Normal_data/N_2_(1750rpm).mat,0.5,0,1e-08
source/48kHz_Normal_data/N_2_(1750rpm).mat,1,0,1e-08
source/48kHz_Normal_data/N_2_(1750rpm).mat,2,0,1e-08
source/12kHz_DE_data/OR/Centered/0007/OR007@6_0.mat,0.5,0,1e-08
source/12kHz_DE_data/OR/Centered/0007/OR007@6_0.mat,1,0,1e-08
source/12kHz_DE_data/OR/Centered/0007/OR007@6_0.mat,2,0,1e-08
source/12kHz_DE_data/IR/0007/IR007_0.mat,0.5,0,1e-08
source/12kHz_DE_data/IR/0007/IR007_0.mat,1,0,1e-08
source/12kHz_DE_data/IR/0007/IR007_0.mat,2,0,1e-08
source/12kHz_DE_data/B/0007/B007_2.mat,0.5,0,1e-08
source/12kHz_DE_data/B/0007/B007_2.mat,1,0,1e-08
source/12kHz_DE_data/B/0007/B007_2.mat,2,0,1e-08
target/A.mat,0.5,0,1e-08
target/A.mat,1,0,1e-08
target/A.mat,2,0,1e-08
